N,GPU CSR,GPU MF,CPU CSR mult,CPU matfree mult,,CPU CSR base,CPU matfree base
8,0.005607,0.008577,0.007607,0.022176,,0.000506,0.001705
16,0.011638,0.01873,0.011939,0.077538,,0.00212,0.01179
32,0.022718,0.038176,0.021669,0.372588,,0.013536,0.127598
64,0.082682,0.139907,0.051462,2.126182,,0.096861,52.494825
128,0.263555,0.752887,0.14538,300.036627,,0.741913,996.782221
256,0.498357,1.06914,0.43299,,,6.093707,
512,1.819055,4.936811,2.253479,,,47.440162,
1024,8.073823,38.215815,16.176031,,,379.464764,
2048,,,128.788043,,,,
4096,,,1178.226543,,,,
